[
 [(0,0,0), (0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (0,0,0), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (59,35,0), (255,238,211), (255,238,211), (59,35,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (114,109,114), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (0,0,0), (0,0,0), (150,150,150), (114,109,114), (114,109,114), (114,109,114), (0,0,0), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (0,0,0), ]
 [(150,150,150), (150,150,150), (114,109,114), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (114,109,114), (150,150,150), (150,150,150), ]
 [(150,150,150), (114,109,114), (0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (0,0,0), (114,109,114), (150,150,150), ]
 [(114,109,114), (0,0,0), (0,0,0), (114,109,114), (150,150,150), (150,150,150), (114,109,114), (0,0,0), (0,0,0), (114,109,114), ]
 [(114,109,114), (0,0,0), (150,150,150), (150,150,150), (114,109,114), (114,109,114), (150,150,150), (150,150,150), (0,0,0), (114,109,114), ]
 [(0,0,0), (0,0,0), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (150,150,150), (0,0,0), (0,0,0), ]
 [(0,0,0), (0,0,0), (150,150,150), (150,150,150), (114,109,114), (114,109,114), (150,150,150), (150,150,150), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (150,150,150), (114,109,114), (114,109,114), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (150,150,150), (0,0,0), (0,0,0), (0,0,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), (0,0,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), (0,0,0), (150,150,150), (114,109,114), (0,0,0), (0,0,0), ]
 [(0,0,0), (114,109,114), (114,109,114), (0,0,0), (0,0,0), (0,0,0), (114,109,114), (114,109,114), (0,0,0), (0,0,0), ]
 [(114,109,114), (114,109,114), (114,109,114), (0,0,0), (0,0,0), (114,109,114), (114,109,114), (114,109,114), (0,0,0), (0,0,0), ]
]
